"","HybridLouvain","Treatment","N","Total","Freq","CD45","CD57","In115Di","IdU","CD103","CD19","CD45RA","KLRG1","CD4","CD8","Perforin","CD16","CD127","CD1c","CD123","CD66b","PD1","ICOS","CD27","TIM3","CCR6","CD14","CD56","CD69","41BB","CD25","CCR7","CD3","OX40","CD38","CD95","LAG3","CXCR3","HLADR","TIGIT","GranzymeB","DNA","Osmium","CD11b"
"1","granulocyte_9","1_normal",222,169733,0.00130793658275056,0.614386133989662,0.302225896891253,0.075411410267025,0.167587696225984,0.246068110669901,0.189494345830134,0.565071370468229,0.346066749653134,0.201318672258679,0.215407547468291,0.352564710040904,0.383646234216124,0.527164073190928,0.123646423256839,0.25548153086095,0.666591151776539,0.768285549930954,0.463411688344389,0.208301140547811,0.544156680406986,0.476192654140143,0.335786618175074,0.439668694042619,0.415195898480917,0.644751703864111,0.381555155753969,0.772353690987239,0.310239162956316,0.561409123506054,0.213655158996103,0.553347080182153,0.651094138621155,0.563287350610508,0.237764123450472,0.55857092955181,0.381582023907752,0.793724702833455,0.687207574933265,0.744464774691871
"2","granulocyte_9","2_border",20,55703,0.000359047089025726,0.692204341880281,0.21762365368511,0.102015227236961,0.125019913073718,0.287770033436379,0.199032331466358,0.442924099114512,0.367093430883158,0.215736604440226,0.258243940482981,0.256490943113318,0.330434250763211,0.583858544312965,0.161430754383284,0.27327756882729,0.723581918980927,0.812243479350161,0.51693325585041,0.250392163777325,0.62259196417561,0.503578330668151,0.355702632526317,0.495434928736857,0.508932345507717,0.694486287991359,0.446497367581041,0.818714801891036,0.358738035941512,0.611972350886797,0.208123523210709,0.582790244490853,0.730278829747117,0.58899186512275,0.24540076199731,0.60482693737608,0.37967479866078,0.80483113081339,0.649977511299427,0.801323556965538
"3","granulocyte_9","3_tumor",21,333723,6.29264389928174e-05,0.661620236435531,0.0856642287358995,0.00940598305915289,0.22891127012295,0.241133730756364,0.211630448698462,0.39946052241663,0.355650797048521,0.130379106358436,0.22507955692551,0.192888122251776,0.345387328271488,0.53257323343761,0.123901411115746,0.272546314377279,0.675664973227138,0.832801277435414,0.484472639073991,0.259646743486419,0.559055538237973,0.446613086457117,0.369527327843638,0.429635984781416,0.524325381839718,0.668984646211582,0.363195889585213,0.810541042428275,0.360190191471205,0.600694672666845,0.289001228668197,0.552119825058299,0.654342624717029,0.635345721108696,0.264967803301668,0.550570038338824,0.352368895639149,0.796392790279002,0.614465079785187,0.709033319235748
"4","pdc_5","1_normal",2,169733,1.17832124572122e-05,0.743451637695305,0.0811262396890075,0,0.136035787844576,0.129587375913328,0.0597107012850088,0.0842750440451462,0.226869786850457,0.671265110161001,0.461802625386298,0.498969618591833,0.0479136968540197,0,0,0.605275376911726,0.138359603827004,0.738306171001916,0.309617879237572,0.502219430073084,0.0345351822338951,0.0177981654375003,0,0.00607734763377016,0.331844628110189,0.28667841269904,0,0.0647682636620354,0.582970490530498,0.195827650084052,0.348977103864532,0.593819072481442,0.0778816209927227,0.47675326388353,0.528300287312684,0.568012553225199,0.290915594019857,0.847668687761117,0.519233249597092,0.0463043125935014
"5","pdc_5","2_border",3,55703,5.38570633538589e-05,0.836156599969446,0.259047600486623,0.139189559127522,0,0.393223806759818,0.098186969323305,0.390772412944754,0.139867442344072,0.644859590095581,0.575864209742803,0.404214800127595,0.172874303919436,0.0502315345274517,0.0270904690889521,0.871882064029526,0.0855267745545102,0.240634376949739,0.2671674742319,0.545529910161391,0.223655235100816,0.215493899750873,0.313285528999053,0.280546176301896,0.611313820466071,0,0.00391728628143361,0.293825912674902,0.630404630167588,0.0434741232521881,0.527031066886656,0.529755959872269,0.344704512687129,0.683267218098452,0.697658812552886,0.409724114380482,0.424264908385346,0.877054042848673,0.629287725579969,0.0928444255633425
"6","pdc_5","3_tumor",28,333723,8.39019186570899e-05,0.810528576323926,0.111918502600841,0.0520341744229078,0.102608376503705,0.457823889296029,0.107010572682261,0.575712718113572,0.199876249409897,0.693048913381622,0.66440428824552,0.424019933124296,0.20882448075624,0.090486332383341,0.0563913215689631,0.90284981884236,0.142157024752352,0.413074762997611,0.409197517834799,0.614816984152014,0.176707300609001,0.0934450852844527,0.0939530901228341,0.210297995517743,0.647470244839009,0.122704684241511,0.100103072951525,0.284526645862543,0.672074239990515,0.0855575141496553,0.521317873125865,0.549392480038432,0.434959087560772,0.774076519280737,0.637338832135069,0.515133607605626,0.520575709060098,0.858492298554205,0.595021131065774,0.108782740658953
"7","pdc_1","1_normal",51,169733,0.000300471917658911,0.459260154304903,0.0112477117319522,0.00337432516450743,0.138069084681182,0.0389878647994509,0.0335421985787967,0.15968533741796,0.0740918391838319,0.438868100021346,0.11380482522513,0.469286318106875,0.112082179416371,0.0414630228767943,0.0155180245651414,0.637813928800062,0.0578801416184748,0.0399126412181705,0.108299757229632,0.0943448236494844,0.132538378730334,0.139637486593763,0.132239994820862,0.0580966335448639,0.062110451414362,0.0244150052523466,0.00560959957431163,0.0408289898394088,0.0620556359271127,0.0107551565653896,0.258892864755841,0.237871789243057,0.0945400324426112,0.34597136144401,0.524775208495558,0.0721966465820498,0.2927482578973,0.775369114556475,0.494239089882032,0.066455090340928
"8","pdc_1","2_border",21,55703,0.000376999443477012,0.539320137703412,0.00271228988219421,0.00482835316406189,0.0659873048583599,0.0315564446356285,0.0137786157504256,0.247855834280453,0.0421609772465745,0.397639745200399,0.135106335863192,0.338483020217565,0.0817684256201676,0.0169997877072432,0.0280230996561071,0.716006278511828,0.0536034769320088,0.0745786481044782,0.0817230863634534,0.0394346957101055,0.054102632523431,0.0455921357504036,0.0450932908822498,0.0487809737308282,0.0481948281240139,0,0.009033122941173,0.0448208461474856,0.0234521971304469,0.0068326253657398,0.303594150503908,0.109779540423059,0.0815745007661079,0.496271738365124,0.54825015337164,0.0722631830012452,0.297627108150258,0.781596354141401,0.496945426663347,0.0243255820023024
"9","pdc_1","3_tumor",27,333723,8.09054215621938e-05,0.537044795636407,0.0130163832647755,0.00340522113077288,0.164386101862343,0.0416910578180845,0.0595411419715481,0.209452145324993,0.113404387416974,0.353054459819778,0.116839968639434,0.246344734015717,0.0890809510305901,0.0179209783863177,0.0121368948828806,0.686261715752159,0.0752611402631177,0.0414827008682271,0.127717966504887,0.0537698030656556,0.0527173843218882,0.0616219562341101,0.0678131636164458,0.0293555132308108,0.0969503412148807,0.0269040441484232,0.00774074223989319,0.0728024446928351,0.105198124226052,0.017401750129448,0.228760445108981,0.256142990919493,0.111916138359165,0.473491492992601,0.539779991247594,0.0878614991506188,0.329181767762232,0.797064366773721,0.54670842836606,0.107983845780167
"10","pdc_2","1_normal",30,169733,0.000176748186858183,0.618163374546442,0.0205099857807442,0.000753565737864733,0.069093715503946,0.0637500648604836,0.0874957647953817,0.361321194284355,0.124377397576769,0.521459689079549,0.165315103406785,0.55341875008073,0.120778364915181,0.0457480233181833,0.0488328725745139,0.839827971163528,0.0789009072588462,0.0830350066660693,0.105713353092783,0.049191414644832,0.358685398000672,0.0414310922390379,0.0786209151988384,0.231819213793604,0.209794137820599,0.017231297764225,0.0605262371021471,0.0653581352080967,0.113448948430209,0.0172319076590671,0.519919285586774,0.251044501355963,0.167317586350024,0.584295710186219,0.740665485973015,0.234640986300711,0.239232609472832,0.766517106432194,0.493689492551857,0.0702456721459016
"11","pdc_2","2_border",28,55703,0.000502665924636016,0.675743891444544,0.0335643304298223,0.0193622337850295,0.0862093878138904,0.107646550182468,0.0879801725720809,0.519550637831816,0.0811495751893894,0.596414065943024,0.161451073364132,0.382400345330717,0.127439795565662,0.0133373194693789,0.0386219200244387,0.857707351699272,0.0908729319019371,0.128915571315913,0.117855061114159,0.0664038990941249,0.32418542427176,0.0767629070585149,0.0447369147930046,0.252017566647184,0.323550613033281,0.0407942366759491,0.0546235788334089,0.123808941161494,0.120261814746363,0.0387210072864606,0.518542754191809,0.263900330000785,0.225494694129534,0.65999781132089,0.772366064190705,0.272098553966358,0.25076122313335,0.777397954545822,0.50280634739732,0.0472838811242347
"12","pdc_2","3_tumor",12,333723,3.59579651387528e-05,0.707116498635017,5.18887994275237e-05,0,0.0234627932206901,0.151343458223724,0.0444581419538787,0.567046596767592,0.085390846160141,0.662537746289169,0.232988934230969,0.34955838572321,0.0982616523840378,0.0793121464774464,0.0776602810429379,0.921566512367846,0.0671179767463237,0.158790739534403,0.150660421149871,0.039199298715742,0.356592328083307,0.0756732007880356,0.0692241347662439,0.195722536595613,0.330890205358863,0.0343644294289337,0.03461319175742,0.148922990480209,0.162158554182679,0.0337218505739941,0.487915407547004,0.309119792194473,0.184840605984314,0.690515366096731,0.709760690288897,0.192655440514426,0.333478937638488,0.782715803639961,0.567332076112278,0.0842587835961849
